# Gelöschte Liquiflow-Branches — Wiederherstellungsliste
# Stand: 2026-08-11  Repo: jonas-liquify/dicota-3
#
# Branch wiederherstellen:
#   gh api -X POST repos/jonas-liquify/dicota-3/git/refs -f ref=refs/heads/<NAME> -f sha=<SHA>
#
# NAME	SHA	OFFENER_PR
liquify_conversion_2026-07-10_16-45	e9ad3547e8a2959e87ee4d7d3d993227a336c2ba	#125
liquify_conversion_2026-07-10_16-52	c3dfbdde39bbdd5b51363b008013cc2e40c7b210	#126
liquify_conversion_2026-07-10_17-58	d5eb8737a3416c28c7a47b5819160c5739abb097	#128
liquify_conversion_2026-07-10_18-01	570f8187b19e1988a3a0b42cc4e2481bf9ca7566	#129
liquify_conversion_2026-07-10_18-03	c23861de2b1272adcab1d8a6f92e8a30921613b2	#130
liquify_conversion_2026-07-15_23-41	e62bda447eb1520dddf41f261976cec117ef0da4	#133
liquify_conversion_2026-07-16_13-19	070fc39add3c28aba3a5e5835477ce4084ed6947	#135
liquify_conversion_2026-07-17_00-28	ba3bb2d417bde7651e784ab78b4bd1c026a7694e	-
liquify_conversion_2026-07-17_00-52	348a9bcbe88a556008bcce89829c6ebea2b80c61	#141
liquify_conversion_2026-07-17_00-59	93b38c494c33cf85c26290620ebe667b82528381	#142
liquify_conversion_2026-07-24_00-25	1c0d1712c457b2ab519794ba4521591939223bf0	#143
liquify_conversion_2026-07-27_22-59	59c7e5c4f855ec2895f884d38087fe5405a1f331	#144
liquify_conversion_2026-07-27_23-31	902c9b364d1dd6cda88ead9ba8a156f2da5aff39	-
liquify_conversion_2026-07-28_00-05	58af9f284a59e5ab2107fbb616de75bfb23d7270	-
liquify_conversion_2026-07-28_00-25	24bb3e29d855dd7cee7aa3d0d58882457bb27f4b	#148
liquify_conversion_2026-07-28_09-50	52839e28bb889f28b3473f12703bb4c70b5944dd	#152
